kilavuz_kodu,yil,universite_adi,birim_adi,2024_gerceklesen_siralama,2025_gerceklesen_siralama,2026_tahmini_siralama,2026_guven_alt_sinir,2026_guven_ust_sinir,tahmini_siralama_degisimi
100110045,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,İngilizce Öğretmenliği,16262.0,14400.0,16877,12044,178428,-2477.0
100110054,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Okul Öncesi Öğretmenliği,18705.0,17920.0,18457,13132,196351,-537.0
100110063,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Rehberlik ve Psikolojik Danışmanlık,121306.0,117019.0,116816,94847,251996,203.0
100110072,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Sınıf Öğretmenliği,103133.0,91480.0,91600,76350,234113,-120.0
100110081,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Sosyal Bilgiler Öğretmenliği,90523.0,132039.0,86352,65020,242971,45687.0
100110099,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Türkçe Öğretmenliği,33653.0,51652.0,35905,21937,213493,15747.0
100110115,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Biyoloji (İngilizce),405419.0,375034.0,400517,311635,582820,-25483.0
100110124,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Fizik (İngilizce),414253.0,374650.0,417698,326979,603067,-43048.0
100110133,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Kimya (İngilizce),323586.0,291443.0,300074,256337,467585,-8631.0
100110142,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Matematik (İngilizce),319613.0,302060.0,305537,255650,456163,-3477.0
100110151,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Psikoloji,96780.0,87338.0,77508,68696,226083,9830.0
100110169,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Sosyoloji,673436.0,579816.0,562727,436293,756765,17089.0
100110178,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Tarih,240315.0,231666.0,271972,179162,400257,-40306.0
100110187,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Türk Dili ve Edebiyatı,160885.0,197383.0,167907,111544,285734,29476.0
