program_kodu,universite_adi,fakulte_adi,program_adi,ogretim_suresi,puan_turu,genel_kontenjan,okul_birincisi_kontenjan,sehit_gazi_kontenjan,ozel_kosullar,2025_basari_sirasi,2025_en_kucuk_puan,kaynak
106510090,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ,Psikoloji (İngilizce),4,EA,40.0,1.0,,"22, 23, 24",57653.0,380.15232,osym_2026_preliminary_pdf
106510089,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),4,EA,30.0,1.0,,"22, 23, 24",165975.0,337.21961,osym_2026_preliminary_pdf
106510014,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MİMARLIK FAKÜLTESİ,Mimarlık (İngilizce),4,SAY,40.0,1.0,,"22, 23, 24, 143",159168.0,358.12963,osym_2026_preliminary_pdf
106510077,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,Bilgisayar Mühendisliği (İngilizce),4,SAY,80.0,2.0,,"22, 23, 24, 144",53079.0,442.53227,osym_2026_preliminary_pdf
106510068,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,Elektrik-Elektronik Mühendisliği (İngilizce),4,SAY,50.0,2.0,,"22, 23, 24, 144",64728.0,430.68304,osym_2026_preliminary_pdf
106510023,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,Endüstri Mühendisliği (İngilizce),4,SAY,75.0,2.0,,"22, 23, 24, 144",76943.0,419.16586,osym_2026_preliminary_pdf
106510032,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,İnşaat Mühendisliği (İngilizce),4,SAY,30.0,1.0,,"22, 23, 24, 144",204223.0,335.75752,osym_2026_preliminary_pdf
106510041,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,Makine Mühendisliği (İngilizce),4,SAY,50.0,2.0,,"22, 23, 24, 144",94595.0,,osym_2026_preliminary_pdf
106510105,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),MÜHENDİSLİK FAKÜLTESİ,Malzeme Bilimi ve Nanoteknoloji Mühendisliği (İngilizce),4,SAY,20.0,1.0,,"22, 23, 24, 144",115817.0,386.70083,osym_2026_preliminary_pdf
106510087,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YAŞAM VE DOĞA BİLİMLERİ FAKÜLTESİ,Biyomühendislik (İngilizce),4,SAY,35.0,1.0,,"22, 23, 24, 144",,327.86793,osym_2026_preliminary_pdf
106510086,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YAŞAM VE DOĞA BİLİMLERİ FAKÜLTESİ,Moleküler Biyoloji ve Genetik (İngilizce),4,SAY,30.0,1.0,,"22, 23, 24",140663.0,369.34897,osym_2026_preliminary_pdf
106510091,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YAŞAM VE DOĞA BİLİMLERİ FAKÜLTESİ,Moleküler Biyoloji ve Genetik (İngilizce) (KKTC Uyruklu),4,SAY,1.0,,,"M 5, 22, 23, 24",,,osym_2026_preliminary_pdf
106510088,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YÖNETİM BİLİMLERİ FAKÜLTESİ,Ekonomi (İngilizce),4,EA,30.0,1.0,,"22, 23, 24",155309.0,340.28688,osym_2026_preliminary_pdf
106500101,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YÖNETİM BİLİMLERİ FAKÜLTESİ,Ekonomi (İngilizce) (KKTC Uyruklu),4,EA,1.0,,,"5, 22, 23, 24",,,osym_2026_preliminary_pdf
106510059,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi),YÖNETİM BİLİMLERİ FAKÜLTESİ,İşletme (İngilizce),4,EA,25.0,1.0,,"22, 23, 24",105758.0,357.34521,osym_2026_preliminary_pdf
110410307,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Bilgi Güvenliği Teknolojisi,4,SAY,30.0,1.0,,320,,302.56426,osym_2026_preliminary_pdf
110410244,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Bilgisayar Mühendisliği (İngilizce),4,SAY,75.0,2.0,,"22, 23, 24, 144",102840.0,396.77453,osym_2026_preliminary_pdf
110410314,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Bilişim Sistemleri ve Teknolojileri,4,SAY,30.0,1.0,,320,286321.0,306.34132,osym_2026_preliminary_pdf
110410398,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Bilişim Sistemleri ve Teknolojileri (KKTC Uyruklu),4,SAY,2.0,,,"L 5, 320",,,osym_2026_preliminary_pdf
110410321,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Veri Bilimi ve Analitiği (İngilizce),4,SAY,40.0,,,"İ 22, 23, 24, 320",199345.0,337.9297,osym_2026_preliminary_pdf
110410258,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Yapay Zeka Mühendisliği (İngilizce),4,SAY,40.0,1.0,,"22, 23, 24, 144, 320",91204.0,406.39872,osym_2026_preliminary_pdf
110410328,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Devlet Üniversitesi),BİLGİSAYAR VE BİLİŞİM FAKÜLTESİ,Yapay Zeka Mühendisliği (İngilizce) (KKTC Uyruklu),4,SAY,,,,"5, 22, 23, 24, 144, 320",,,osym_2026_preliminary_pdf
