kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,15.0,,,,544.0313,281.0
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,15.0,2.0,1.0,,545.60719,386.0
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,13.0,,,,549.27495,297.0
203910399,KOÇ ÜNİVERSİTESİ (İSTANBUL),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,14.0,,,,546.19564,383.0
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,42.0,,,,542.68584,373.0
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,42.0,3.0,1.0,,544.67094,452.0
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,42.0,,,,546.9404,480.0
202110426,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce) (Burslu),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,42.0,,,,541.58154,811.0
108410354,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,150.0,,,,532.88444,1484.0
108410354,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Elektrik-Elektronik Mühendisliği (İngilizce),Elektrik-Elektronik Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,150.0,,,4.0,534.41115,1603.0
