kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203910424,KOÇ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,13.0,,,,538.55385,708.0
203910424,KOÇ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,17.0,2.0,1.0,,541.61792,758.0
203910424,KOÇ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,15.0,,,,546.76259,495.0
203910424,KOÇ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,15.0,,,,542.60521,693.0
102210295,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,50.0,,,,529.34885,2050.0
102210295,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,2.0,531.37897,2053.0
102210295,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,,538.64829,1784.0
102210295,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,,537.73026,1448.0
202110444,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,42.0,,,,528.59421,2189.0
202110444,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,42.0,3.0,1.0,,533.90009,1676.0
202110444,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,42.0,,,,539.21691,1660.0
202110444,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,42.0,,,,533.821,2192.0
108410363,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,55.0,,,,525.77517,2741.0
108410363,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,55.0,,,2.0,529.32583,2408.0
108410363,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,55.0,,,,535.40903,2551.0
108410363,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,65.0,,,,529.13098,3346.0
105510662,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,50.0,,,,521.49444,3730.0
105510662,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,2.0,524.32042,3356.0
105510662,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,50.0,,,,534.14396,2888.0
105510662,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,60.0,,,,528.81826,3437.0
105510292,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,50.0,,,,519.7489,4165.0
105510292,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,2.0,519.84288,4344.0
105510292,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,50.0,,,,529.98076,4111.0
105510292,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,60.0,,,,523.74226,5178.0
205410159,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,515.2572,5452.0
205410159,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,2.0,1.0,,522.3256,3787.0
205410159,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,10.0,,,,532.81897,3272.0
205410159,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (Burslu),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,524.11536,5018.0
202110753,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (%50 İndirimli),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,35.0,,,,507.83336,7846.0
202110753,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (%50 İndirimli),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,35.0,,,,508.17085,7583.0
202110753,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (%50 İndirimli),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,35.0,,,,522.45896,6885.0
202110753,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce) (%50 İndirimli),Endüstri Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,35.0,,,,518.73936,7269.0
104010131,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (Fransızca),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,35.0,,,,507.592,7934.0
104010131,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (Fransızca),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,35.0,,,1.0,509.08661,7296.0
104010131,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (Fransızca),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,35.0,,,,526.20438,5437.0
104010131,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (Fransızca),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,30.0,,,,521.08887,6233.0
204810043,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,14.0,,,,506.26084,8463.0
204810043,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,14.0,2.0,1.0,,512.67974,6205.0
204810043,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,14.0,,,,530.5533,3937.0
204810043,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,14.0,,,,528.18132,3646.0
110110464,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,55.0,,,,501.91171,10264.0
110110464,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,55.0,,,2.0,503.66284,9162.0
110110464,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,55.0,,,,519.59063,8111.0
110110464,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,50.0,,,,510.95328,11027.0
110110225,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,60.0,,,,494.8974,13503.0
110110225,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,60.0,,,2.0,496.90152,11733.0
110110225,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,85.0,,,,512.32237,11527.0
110110225,YILDIZ TEKNİK ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği,Endüstri Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,80.0,,,,503.12503,15537.0
104810529,HACETTEPE ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,75.0,,,,493.44008,14236.0
104810529,HACETTEPE ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,2.0,493.08915,13255.0
104810529,HACETTEPE ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,,506.8598,14501.0
104810529,HACETTEPE ÜNİVERSİTESİ (ANKARA),Endüstri Mühendisliği (İngilizce),Endüstri Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,,495.09476,20727.0
206100675,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,14.0,,,,484.91181,19211.0
206100675,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,15.0,2.0,1.0,,483.4912,17942.0
206100675,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,14.0,,,,510.3624,12541.0
206100675,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,13.0,,,,501.38294,16625.0
105590167,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,5.0,,,,484.77135,19311.0
105590167,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,5.0,,,,368.10953,120511.0
105590167,İSTANBUL TEKNİK ÜNİVERSİTESİ,Endüstri Mühendisliği (İngilizce) (Burslu),Endüstri Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,5.0,,,,510.95507,12235.0
