kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),Hukuk (Burslu),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,15.0,,,,510.7839,253.0
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),Hukuk (Burslu),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,21.0,3.0,1.0,,504.59636,473.0
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),Hukuk (Burslu),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,18.0,,,,527.16858,239.0
203910796,KOÇ ÜNİVERSİTESİ (İSTANBUL),Hukuk (Burslu),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,18.0,,,,530.68457,132.0
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Hukuk (Burslu),Hukuk,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,14.0,,,,504.01538,376.0
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Hukuk (Burslu),Hukuk,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,20.0,3.0,1.0,,511.77162,305.0
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Hukuk (Burslu),Hukuk,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,21.0,,,,525.78762,271.0
202111106,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Hukuk (Burslu),Hukuk,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,21.0,,,,520.22409,329.0
104010052,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Hukuk (Fransızca),Hukuk,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,35.0,,,,502.12814,426.0
104010052,GALATASARAY ÜNİVERSİTESİ (İSTANBUL),Hukuk (Fransızca),Hukuk,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,35.0,,,1.0,506.5822,425.0
