kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),İktisat (İngilizce) (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,17.0,,,,503.60245,387.0
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),İktisat (İngilizce) (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,17.0,3.0,1.0,,511.5179,311.0
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),İktisat (İngilizce) (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,18.0,,,,517.39508,477.0
202110205,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),İktisat (İngilizce) (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,18.0,,,,503.92199,970.0
102210214,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),İktisat (İngilizce),İktisat,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,90.0,,,,494.64952,598.0
102210214,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),İktisat (İngilizce),İktisat,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,90.0,,,3.0,502.36817,529.0
102210214,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),İktisat (İngilizce),İktisat,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,90.0,,,,514.53584,557.0
102210214,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),İktisat (İngilizce),İktisat,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,90.0,,,,510.51486,662.0
205410053,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),İktisat (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,7.0,,,,481.63873,1051.0
205410053,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),İktisat (Burslu),İktisat,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,7.0,1.0,1.0,,489.07795,975.0
