kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203910487,KOÇ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,534.45394,1226.0
203910487,KOÇ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,12.0,1.0,1.0,,535.83881,1391.0
203910487,KOÇ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,9.0,,,,542.0126,1151.0
203910487,KOÇ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,536.47553,1658.0
202110877,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,26.0,,,,527.65394,2358.0
202110877,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,26.0,2.0,1.0,,531.1867,2086.0
202110877,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,26.0,,,,535.34807,2562.0
202110877,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,26.0,,,,531.18445,2813.0
108410433,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,120.0,,,,523.30271,3264.0
108410433,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,120.0,,,3.0,522.82995,3659.0
108410433,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,120.0,,,,527.94562,4832.0
108410433,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,150.0,,,,520.86585,6321.0
102210329,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce),Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,65.0,,,,521.95467,3596.0
102210329,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce),Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,65.0,,,2.0,522.3873,3771.0
102210329,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce),Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,,531.70153,3584.0
102210329,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce),Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,,531.64691,2695.0
205410177,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,520.05664,4068.0
205410177,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,2.0,1.0,,517.76512,4840.0
205410177,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,10.0,,,,527.48902,4973.0
205410177,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (Burslu),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,520.41853,6503.0
105510441,İSTANBUL TEKNİK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,140.0,,,,513.03357,6106.0
105510441,İSTANBUL TEKNİK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,150.0,,,4.0,508.63864,7430.0
105510441,İSTANBUL TEKNİK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,150.0,,,,515.67219,9886.0
105510441,İSTANBUL TEKNİK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,180.0,,,,507.3,13032.0
202110886,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (%50 İndirimli),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,22.0,,,,504.34293,9219.0
202110886,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (%50 İndirimli),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,22.0,,,,507.69212,7769.0
202110886,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (%50 İndirimli),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,22.0,,,,518.69503,8495.0
202110886,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce) (%50 İndirimli),Makine Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,22.0,,,,512.48953,10223.0
204810158,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,501.87353,10287.0
204810158,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,1.0,1.0,,504.37918,8917.0
204810158,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,9.0,,,,518.64022,8517.0
204810158,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,8.0,,,,517.29253,7876.0
104890268,HACETTEPE ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,70.0,,,,493.68466,14114.0
104890268,HACETTEPE ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,2.0,487.61866,15819.0
104890268,HACETTEPE ÜNİVERSİTESİ (ANKARA),Makine Mühendisliği (İngilizce),Makine Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,85.0,,,,501.0933,17947.0
