kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
202110241,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Psikoloji (İngilizce) (Burslu),Psikoloji,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,10.0,,,,497.6099,522.0
202110241,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Psikoloji (İngilizce) (Burslu),Psikoloji,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,10.0,2.0,1.0,,507.02582,414.0
202110241,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Psikoloji (İngilizce) (Burslu),Psikoloji,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,10.0,,,,516.85717,491.0
202110241,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Psikoloji (İngilizce) (Burslu),Psikoloji,6.0,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,10.0,,,,508.42276,742.0
203910133,KOÇ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce) (Burslu),Psikoloji,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,9.0,,,,493.81997,624.0
203910133,KOÇ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce) (Burslu),Psikoloji,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,13.0,1.0,1.0,,498.66994,630.0
203910133,KOÇ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce) (Burslu),Psikoloji,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,11.0,,,,518.80541,433.0
203910133,KOÇ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce) (Burslu),Psikoloji,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,13.0,,,,509.33219,715.0
102270203,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce),Psikoloji,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,40.0,,,,467.1586,1832.0
102270203,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Psikoloji (İngilizce),Psikoloji,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,40.0,,,1.0,473.37888,1779.0
