kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
202110268,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,17.0,,,,466.71748,1852.0
202110268,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,18.0,3.0,1.0,,474.99118,1671.0
202110268,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,18.0,,,,485.68443,1939.0
202110268,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,18.0,,,,477.68691,3136.0
108410266,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,80.0,,,,456.90098,2683.0
108410266,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,80.0,,,2.0,458.07518,3022.0
108410266,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,85.0,,,,471.43749,3221.0
108410266,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,80.0,,,,460.28141,6043.0
101190759,ANKARA ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,403.51717,26203.0
101190759,ANKARA ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,50.0,,,2.0,393.83311,41748.0
101190759,ANKARA ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,70.0,,,,0.0,
104810468,HACETTEPE ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,398.35255,31814.0
104810468,HACETTEPE ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,55.0,,,2.0,384.97119,53995.0
104810468,HACETTEPE ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,75.0,,,,394.61874,53849.0
104810468,HACETTEPE ÜNİVERSİTESİ (ANKARA),Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,70.0,,,,389.05826,78234.0
202590232,İSTANBUL BİLGİ ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,5.0,,,,390.45492,41951.0
202590232,İSTANBUL BİLGİ ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,6.0,1.0,1.0,,380.59444,60800.0
202590232,İSTANBUL BİLGİ ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,5.0,,,,405.06713,37795.0
202590232,İSTANBUL BİLGİ ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,5.0,,,,391.33793,73672.0
110910098,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,30.0,,,,376.43632,64355.0
110910098,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,30.0,,,1.0,354.14293,115204.0
110910098,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,70.0,,,,369.29617,106365.0
110910098,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,6,ANKARA,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,60.0,,,,364.05931,135905.0
107211269,MARMARA ÜNİVERSİTESİ (İSTANBUL),Siyaset Bilimi ve Kamu Yönetimi (Fransızca),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,65.0,,,,372.27355,72268.0
107211269,MARMARA ÜNİVERSİTESİ (İSTANBUL),Siyaset Bilimi ve Kamu Yönetimi (Fransızca),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,65.0,,,2.0,363.26245,93424.0
107211269,MARMARA ÜNİVERSİTESİ (İSTANBUL),Siyaset Bilimi ve Kamu Yönetimi (Fransızca),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,65.0,,,,373.18732,97140.0
107211269,MARMARA ÜNİVERSİTESİ (İSTANBUL),Siyaset Bilimi ve Kamu Yönetimi (Fransızca),Siyaset Bilimi ve Kamu Yönetimi,34,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,60.0,,,,371.3286,117447.0
