kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,3.0,,,,551.13218,38.0
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,,,,554.91557,31.0
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,10.0,,,,0.0,
203110477,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,552.37785,70.0
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,11.0,,,,550.89027,43.0
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,6.0,1.0,1.0,,555.4201,24.0
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,6.0,,,,554.84947,43.0
203910699,KOÇ ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,7.0,,,,552.20053,75.0
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,6.0,,,,545.26965,210.0
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,6.0,1.0,1.0,,549.12085,203.0
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,5.0,,,,553.48171,71.0
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL),Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,6.0,,,,546.54893,357.0
203110035,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,26.0,,,,535.80502,1028.0
203110035,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,26.0,4.0,2.0,,545.97879,363.0
203110035,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,23.0,,,,549.76816,250.0
203110035,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,23.0,,,,538.56163,1292.0
104810626,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp (İngilizce),Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,175.0,,,,534.82259,1169.0
104810626,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp (İngilizce),Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,175.0,,,5.0,537.19919,1242.0
104810626,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp (İngilizce),Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,175.0,,,,542.31634,1089.0
104810626,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp (İngilizce),Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,170.0,,,,537.51226,1482.0
203190967,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,533.83234,1321.0
203190967,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp (İngilizce) (Burslu),Tıp,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,2.0,1.0,,554.91557,31.0
111610025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıp (İngilizce),Tıp,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,65.0,,,,533.46922,1391.0
111610025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıp (İngilizce),Tıp,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,65.0,,,2.0,536.61927,1311.0
111610025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıp (İngilizce),Tıp,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,65.0,,,,543.69692,884.0
111610025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıp (İngilizce),Tıp,34.0,İSTANBUL,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,60.0,,,,542.35645,716.0
104810617,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp,Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,230.0,,,,530.58733,1836.0
104810617,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp,Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,230.0,,,6.0,532.11949,1935.0
104810617,HACETTEPE ÜNİVERSİTESİ (ANKARA),Tıp,Tıp,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,230.0,,,,538.78666,1754.0
