kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,18.0,,,,547.69436,113.0
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,18.0,2.0,1.0,,550.88113,122.0
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,15.0,,,,552.72452,98.0
203910363,KOÇ ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,16.0,,,,550.07491,156.0
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,42.0,,,,543.70192,299.0
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,42.0,3.0,1.0,,547.38649,286.0
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,42.0,,,,549.81483,242.0
202110408,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,42.0,,,,546.6008,350.0
108410336,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce),Bilgisayar Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,105.0,,,,534.56656,1204.0
108410336,ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce),Bilgisayar Mühendisliği,6.0,ANKARA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,110.0,,,3.0,539.85314,945.0
