kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
102270154,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,488.77394,788.0
102270154,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,50.0,,,2.0,492.59774,845.0
102270154,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,,,,,0.0,
102270154,BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,,,,,502.6299,1025.0
204810476,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,7.0,,,,485.71623,898.0
204810476,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,7.0,1.0,1.0,,494.20987,768.0
204810476,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,5.0,,,,508.59121,765.0
204810476,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,5.0,,,,503.81241,973.0
206190547,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,12.0,,,,461.93718,2226.0
206190547,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,13.0,2.0,1.0,,467.99321,2143.0
206190547,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,13.0,,,,481.30671,2255.0
206190547,YEDİTEPE ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,11.0,,,,483.32941,2480.0
107290348,MARMARA ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,445.99251,3946.0
107290348,MARMARA ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,50.0,,,2.0,451.5536,3942.0
107290348,MARMARA ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,50.0,,,,469.08145,3470.0
107290348,MARMARA ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,40.0,,,,456.98914,6831.0
105690802,İSTANBUL ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,40.0,,,,436.00652,6097.0
105690802,İSTANBUL ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,40.0,,,1.0,439.1923,7190.0
105690802,İSTANBUL ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,40.0,,,,449.764,6451.0
105690802,İSTANBUL ÜNİVERSİTESİ,Yönetim Bilişim Sistemleri (İngilizce),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,30.0,,,,433.29729,15584.0
203790204,KADİR HAS ÜNİVERSİTESİ (İSTANBUL),Yönetim Bilişim Sistemleri (İngilizce) (Burslu),Yönetim Bilişim Sistemleri,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,10.0,,,,429.82067,8216.0
